index,label,count,number_of_blocks,topic,sentiment,stemmed_word,radius,theta,x,y,zone,font_size
9,cases,8226,336,Topic 2,normal,case,10,0,10.0,0.0,0,2
78,infections,4719,301,Topic 2,negative,infect,45,0.4918032786885246,44.99834225614695,0.38625664869391746,1,13
31,data,5343,293,Topic 2,normal,data,53,0.9836065573770492,52.992190328366426,0.9098154769994906,1,15
84,license,5304,276,Topic 2,normal,licens,70,1.4754098360655736,69.97679272600192,1.8023539558491988,2,20
11,patient,7959,260,Topic 2,positive,patient,86,1.9672131147540983,85.94931454511345,2.9521736441389406,2,24
26,numbers,5194,257,Topic 2,normal,number,89,2.459016393442623,88.91804585366526,3.818523479760341,2,25
62,model,6421,250,Topic 2,normal,model,96,2.9508196721311477,95.87271262894373,4.941960457953268,2,27
155,holder,3065,225,Topic 2,normal,holder,121,3.4426229508196724,120.7816474002254,7.265923980308744,3,34
82,time,3548,208,Topic 2,normal,time,138,3.934426229508197,137.67476597266887,9.4688338442945,3,39
86,rate,2816,163,Topic 2,normal,rate,183,4.426229508196721,182.4542073400804,14.123109569176284,5,52
29,transmission,3123,161,Topic 2,normal,transmiss,185,4.918032786885246,184.31889723781998,15.860142528803454,5,53
4,outbreaks,2184,159,Topic 2,normal,outbreak,187,5.409836065573771,186.16706351465913,17.630214472004376,5,54
167,perpetuity,1813,142,Topic 2,normal,perpetu,204,5.901639344262295,202.91877462537616,20.975483416021525,5,58
30,population,1907,127,Topic 2,normal,popul,219,6.39344262295082,217.63796673624117,24.38678812215313,6,63
191,days,1595,116,Topic 2,normal,day,230,6.885245901639345,228.3412963873842,27.572674228822265,6,66
67,health,850,104,Topic 2,normal,health,242,7.3770491803278695,239.99688714093656,31.07240194546533,6,69
37,individuals,1722,86,Topic 2,normal,individu,260,7.868852459016394,257.55184921902725,35.59557506010357,7,75
43,estimates,1392,84,Topic 2,normal,estim,262,8.360655737704919,259.21557221115694,38.095762536566745,7,75
151,period,1438,83,Topic 2,normal,period,263,8.852459016393443,259.8671166719533,40.473221673168254,7,76
68,symptoms,1016,77,Topic 2,negative,symptom,269,9.344262295081966,265.430525834923,43.67649201797545,7,77
