index,label,count,number_of_blocks,topic,sentiment,stemmed_word,radius,theta,x,y,zone,font_size
16,COVID19,4726,305,Topic 6,normal,covid19,41,60.0,20.500000000000004,35.50704155516198,1,11
83,authorfunder,3293,241,Topic 6,normal,authorfund,105,60.50847457627118,51.690956210437115,91.3949946444042,3,30
32,China,2326,195,Topic 6,normal,china,151,61.52542372881355,71.9920824179284,132.733341964746,4,43
19,SARSCoV2,2861,161,Topic 6,normal,sarscov2,185,62.03389830508473,86.7555827887215,163.39666108886465,5,53
107,Wuhan,2439,156,Topic 6,normal,wuhan,190,62.54237288135592,87.60757527537196,168.59689426074857,5,54
21,RNA,3140,123,Topic 6,normal,rna,223,63.55932203389828,99.2954308975631,199.673276636778,6,64
154,International,1280,110,Topic 6,normal,intern,236,64.06779661016947,103.20452762828998,212.23766272040768,6,68
108,January,1026,77,Topic 6,normal,januari,269,65.08474576271183,113.3235901536644,243.96467759633626,7,77
23,Controls,829,74,Topic 6,normal,control,272,65.59322033898302,112.393714528999,247.69265821653633,7,78
47,SARSCoV,1017,65,Topic 6,normal,sarscov,281,66.1016949152542,113.8371860990208,256.9087290479966,8,81
106,February,543,62,Topic 6,normal,februari,284,66.61016949152538,112.74373747023616,260.6623288111316,8,82
72,system,894,57,Topic 6,normal,system,289,67.11864406779657,112.37018671178988,266.25916160454926,8,83
343,Hubei,700,55,Topic 6,normal,hubei,291,67.62711864406775,110.7641265087924,269.09535164834085,8,84
186,ACE2,997,42,Topic 6,normal,ace2,304,68.13559322033893,113.21304165640271,282.1326056997057,8,87
454,Risk,732,41,Topic 6,normal,risk,305,68.64406779661012,111.06897545211103,284.05753412296315,8,88
25,Read,1115,38,Topic 6,normal,read,308,69.1525423728813,109.61139388996472,287.83561685361144,8,89
253,CI,463,38,Topic 6,normal,ci,308,69.66101694915248,107.05269791353321,288.79702191926043,8,89
238,SARS,505,35,Topic 6,normal,sar,311,70.16949152542367,105.50328736270771,292.55778293469126,8,89
169,DNA,740,34,Topic 6,normal,dna,312,70.67796610169485,103.23372390302865,294.42621868494194,9,90
254,CT,652,32,Topic 6,normal,ct,314,71.18644067796603,101.26177060687215,297.2239119141682,9,90
195,CoV,558,31,Topic 6,normal,cov,315,72.2033898305084,96.27627647202867,299.92645529976426,9,91
364,March,269,29,Topic 6,normal,march,317,72.71186440677958,94.20516053048948,302.6786872731952,9,91
185,MERSCoV,571,28,Topic 6,normal,merscov,318,73.22033898305077,91.80403925399993,304.4602081991176,9,91
59,RBD,520,24,Topic 6,normal,rbd,322,73.72881355932195,90.21924656634201,309.10271359048534,9,93
118,Italy,245,22,Topic 6,normal,itali,324,74.23728813559313,88.01588862687464,311.81597673823836,9,93
544,All,237,22,Topic 6,normal,all,324,74.74576271186432,85.24523080971743,312.584789495903,9,93
96,S1,355,21,Topic 6,normal,s1,325,75.2542372881355,82.72238974525474,314.2960487101837,9,93
526,Tables,256,21,Topic 6,normal,tabl,325,75.76271186440668,79.92993113121942,315.0177869729875,9,93
345,Feb,238,20,Topic 6,normal,feb,326,76.27118644067787,77.36850415798398,316.6861452042953,9,94
117,Korea,239,18,Topic 6,normal,korea,328,76.77966101694905,75.012438524741,319.3072721792787,9,94
344,Jan,230,18,Topic 6,normal,jan,328,77.28813559322023,72.17581172072549,319.96039161504723,9,94
368,R0,223,18,Topic 6,normal,r0,328,77.79661016949142,69.3335005505174,320.58831186026015,9,94
516,PCR,249,18,Topic 6,normal,pcr,328,78.3050847457626,66.48572886663935,321.19098346166527,9,94
469,mRNA,528,17,Topic 6,normal,mrna,329,78.81355932203378,63.82672314969217,322.749360048897,9,95
73,SEIR,161,16,Topic 6,normal,seir,330,79.32203389830497,61.145278948748434,324.2857611155318,9,95
